书名,价格,评论数
计算机基础与人工智能标准教程（微课视频版） 人工智能和计算机基础相结合，双色印刷，案例丰富。,¥66.30,140
计算机安全：原理与实践（原书第5版） 计算机安全技术和原理的最佳手册,¥122.60,137
计算机网络：自顶向下方法 原书第8版 经典教材全新升级，被国内外数百所高校选用，被译为14种语言畅销全球,¥129.00,5078
计算机组成原理 资深的计算机体系结构教育家Alan Clements博士编写，涵盖计算机系统的组成和体系结构的基本概念、指令系统以及处理器实现等涉及计算机组成原理课程的内容。,¥56.90,5073
计算机常用工具软件标准教程（微课视频版） 计算机常用工具软件标准教程（微课视频版）,¥56.80,152
计算机网络技术实践教程――基于Cisco Packet Tracer,¥33.70,39
计算机组成原理（第七版） 9787030782816戴志涛科学出版社,¥59.50,385
计算机科学导论（原书第4版） 百科全书式的计算机专业基础入门读物,¥64.10,2688
计算机网络（第8版） “十二五”普通高等教育本科规划教材，计算机专业考研指定教材（谢希仁），销量超过400万册,¥48.90,15522
计算机原理课程设计（第二版）,¥12.20,26
计算机网络技术基础及应用（微课视频版）,¥56.80,119
计算机网络实用技术（高职）,¥14.30,35
计算机网络技术基础与实战（第二版）,¥35.20,17
计算机专业英语（高职）,¥29.20,16
计算机程序的构造和解释（原书第2版）典藏版 清晰、简洁和富于才智,¥56.90,3699
计算机文化基础实训指导（Windows 7+Office 2010）,¥21.70,0
计算机网络实验教程,¥23.90,22
计算机组成原理,¥25.30,23
计算机组网及Wireshark实验教程,¥26.00,53
计算机导论与程序设计,¥26.00,38
计算机图形学实用技术,¥26.20,28
计算机科学导论,¥27.00,4
计算机视觉,¥27.70,93
计算机操作系统（刘晓建）,¥28.50,23
计算机应用基础教程(MS OFFICE 2010版),¥29.70,0
计算机网络技术与应用,¥30.00,0
计算机文化基础实训教程/高等教育“十二五”公共基础课规划教材,¥29.80,6
计算机操作系统（赵伟华）,¥33.50,83
计算机操作系统（第四版）（汤小丹）,¥36.20,5208
计算机学科概论（第3版） 国家级精品课程、省级一流课程配套教材，“十二五”普通高等教育本科国家级规划教材，是计算机学科（专业）理想的导引教材，附配教学课件、扩展阅读、思考题等数字化教学资源。,¥41.00,79
计算机组成原理――基于MIPS结构,¥36.70,15
计算机网络测试与维护,¥39.00,56
计算机应用基础,¥40.80,0
计算机操作系统（第二版）,¥44.20,62
计算机辅助制造――基于UG NX12.0的典型零件数控加工,¥51.70,7
计算机体系结构（第2版）,¥51.30,55
计算机网络第八8版 微课版 谢希仁 计算机考研基础应用书 技术原理电子工业规划教材 计算机考研书籍 电子工业出版社 新华书店正版，多仓就近发货，85%城市次日达，团购优惠咨询在线客服！,¥43.00,240
计算机辅助翻译基础,¥10.50,106
大话计算机科学：生活中的计算思维 ACM全球总决赛金牌得主带你读故事，学计算机科学知识，解锁计算思维！,¥77.20,2000
计算机等考,¥16.60,468
计算机图形学原理及实践（原书第3版）(基础篇） 久负盛名的计算机图形学教材，计算机图形学领域书目,¥75.00,1731
计算机科学导论――计算+、互联网+与人工智能+,¥70.00,113
计算机算法设计与分析（第6版）,¥64.60,25
计算机操作系统（慕课版）,¥57.10,2783
计算机图形学基础(OpenGL版)（第2版） 经典基础，强调编程，配套资源丰富，服务教学,¥29.90,534
深入理解计算机系统 原书第3版 IT图书领域的传奇图书，畅销全球的ICS核心教材，能让程序员脱胎换骨的书,¥139.00,43635
计算机视觉与PyTorch项目实战：基于深度学习框架的端到端产品级模型设计与开发 一本书，助力数据科学家、机器学习工程师以及Python软件工程师迅速掌握新技能,¥94.10,190
计算机科学导论（第7版）(微课版） 结构清晰、知识完整；内容丰富、实用性强；学以致用、注重能力,¥50.90,141
计算机程序设计艺术系列,¥99.00,5287
计算机视觉――算法与应用 计算机视觉领域大师Richard Szeliski博士经典之作,¥132.10,3364
编码：隐匿在计算机软硬件背后的语言（原书第2版） [美] 查尔斯・佩措尔德 享誉全球的计算机启蒙经典，被译为多种语言，影响全球数百万读者，被誉为“打通软硬件认知的终极指南”,¥78.50,430
计算机图形学基础教程（第2版）,¥38.00,51
计算机操作系统（第4版・微课视频版） 为便于教学，本书提供丰富的配套资源，包括教学大纲、教学课件、电子教案、试卷及答案示例、实验报告模板，作者还为本书精心录制了900分钟的微课视频。,¥51.10,235
计算机图形学实习教程――基于C++语言（第二版）,¥51.60,3
计算机网络实验指导书 计算机网络经典教材系列：谢希仁《计算机网络（第8版）》配套的实验指导书，适用于思科、锐捷设备及模拟器,¥32.60,176
计算机病毒分析与防范大全 韩筱卿；王建锋；钟玮 电子工业出版社 线上线下同步销售，请咨询客服查询库存后下单，避免纠纷。,¥4.90,0
计算机辅助翻译基础,¥8.46,0
计算机辅助翻译基础,¥8.46,0
计算机辅助翻译基础,¥8.46,0
计算机专业英语（第3版・音频版） 本书每单元的内容组织为课文、单词、注释、阅读材料1及单词、阅读材料2及单词、专业英语语法知识或专业术语、单元练习等。每单元练习题的题型有专业词组翻译、单词或短语填空、专业术语匹配等。书末附有练习答案和,¥49.60,305
